# V0=6V p=1.2x10^{-4} Rfili=6.5
# Guad=x2 Vponte=5.65 (da misurare) FS multimetro 6mV
# Raffreddamento
# Tdito (K)	Vout (V)
99.597	0.400
99.597	0.405
99.597	0.400
99.886	0.400
99.886	0.405
99.886	0.405
99.886	0.405
99.886	0.405
99.886	0.405
99.886	0.410
100.176	0.405
100.466	0.376
100.176	0.405
100.176	0.405
99.886	0.400
99.886	0.400
100.466	0.405
100.176	0.400
100.466	0.400
100.466	0.405
100.466	0.400
100.466	0.396
100.466	0.396
100.176	0.405
100.466	0.420
100.466	0.410
100.466	0.405
100.466	0.405
100.466	0.400
100.466	0.405
100.466	0.405
100.755	0.400
100.755	0.410
100.755	0.400
100.755	0.410
101.045	0.396
101.045	0.396
100.755	0.396
100.755	0.396
100.755	0.396
100.755	0.400
100.755	0.396
101.045	0.405
100.755	0.420
100.755	0.400
101.334	0.405
101.334	0.400
101.045	0.405
101.334	0.405
101.045	0.400
101.045	0.396
101.334	0.396
101.334	0.410
101.334	0.400
101.624	0.396
101.334	0.400
101.624	0.396
101.334	0.400
101.624	0.400
101.334	0.425
101.624	0.405
101.624	0.405
101.334	0.410
101.624	0.396
101.624	0.405
101.624	0.400
101.914	0.391
101.624	0.400
101.914	0.405
101.914	0.400
101.914	0.400
101.914	0.405
101.914	0.381
101.914	0.400
101.334	0.410
101.914	0.396
102.203	0.400
102.203	0.400
102.203	0.400
102.203	0.396
102.203	0.405
102.203	0.405
102.203	0.405
102.493	0.405
102.203	0.400
102.203	0.400
102.203	0.391
102.203	0.400
102.493	0.405
102.203	0.400
102.493	0.386
102.493	0.400
102.493	0.396
102.493	0.396
102.493	0.391
102.782	0.410
102.782	0.400
102.203	0.405
102.493	0.400
102.782	0.400
102.782	0.400
102.493	0.400
102.782	0.405
102.782	0.400
102.782	0.425
102.782	0.386
102.782	0.396
102.782	0.400
102.782	0.396
102.782	0.396
103.072	0.381
103.072	0.391
103.072	0.415
103.361	0.410
103.072	0.405
103.361	0.400
103.072	0.400
103.361	0.400
103.651	0.425
103.651	0.405
103.361	0.396
103.651	0.391
103.651	0.396
103.361	0.396
103.651	0.396
103.361	0.391
103.651	0.400
103.361	0.396
103.651	0.391
103.361	0.400
103.651	0.396
103.651	0.400
103.651	0.391
103.651	0.391
103.941	0.405
103.651	0.396
103.651	0.396
103.651	0.400
103.941	0.415
103.941	0.400
103.941	0.391
103.941	0.396
103.941	0.396
